"","City","company_na","GEOID","full_name","ALAND","X","Y","Match_addr","year","industry","employees","revenue","growth","employeesgroup","revenuegroup","growthgroup"
"492","Cumming","Mindspark International",13117130607,"Atlanta-Sandy Springs-Marietta, GA",7701416,-84.12728,34.133128,"3860 Windermere Pkwy, Cumming, Georgia, 30041",2013,"IT Services",25,3538199,3.0642,2,1,3
"493","Cumming","eaHELP",13117130204,"Atlanta-Sandy Springs-Marietta, GA",16899525,-84.085452,34.29859989,"30028, Cumming, Georgia",2015,"Business Products & Services",30,4583582,28.3695,2,1,3
"494","Cumming","Agile",13117130302,"Atlanta-Sandy Springs-Marietta, GA",11927343,-84.219089,34.183828,"5830 Clarion St, Cumming, Georgia, 30040",2011,"IT Services",35,5208695,3.586265,2,1,3
"495","Suwanee","InfoSmart Technologies",13117130608,"Atlanta-Sandy Springs-Marietta, GA",8677201,-84.158154,34.085651,"5400 Laurel Springs Pkwy, Suwanee, Georgia, 30024",2014,"IT Services",55,2910508,2.3461,2,1,2
"496","Suwanee","Smartsoft International",13117130608,"Atlanta-Sandy Springs-Marietta, GA",8677201,-84.159574,34.070001,"3965 Johns Creek Ct, Suwanee, Georgia, 30024",2008,"IT Services",246,30175000,1.2042,3,2,2
"497","Suwanee","Supreme Resources",13117130608,"Atlanta-Sandy Springs-Marietta, GA",8677201,-84.158154,34.085651,"5400 Laurel Springs Pkwy, Suwanee, Georgia, 30024",2013,"Manufacturing",12,32049998,1.4092,1,2,2
"498","Cumming","Vertical Earth",13117130203,"Atlanta-Sandy Springs-Marietta, GA",31010456,-84.166463,34.299601,"6025 Matt Hwy, Cumming, Georgia, 30028",2008,"Construction",50,3224041,1.7791,2,1,2
"499","Cumming","Elite Recruiting Group",13117130306,"Atlanta-Sandy Springs-Marietta, GA",8074599,-84.188903,34.170508,"6120 Southard Trce, Cumming, Georgia, 30040",2010,"Government Services",30,4698827,2.415,2,1,2
"500","Cumming","Yash Solutions",13117130306,"Atlanta-Sandy Springs-Marietta, GA",8074599,-84.188725,34.168574,"6215 Iron Gate Trce, Cumming, Georgia, 30040",2010,"IT Services",131,8721613,2.144,3,1,2
"501","Duluth","AccuRec",13135050209,"Atlanta-Sandy Springs-Marietta, GA",6940027,-84.163463,33.975152,"2880 N Berkeley Lake Rd NW, Duluth, Georgia, 30096",2008,"Consumer Products & Services",10,16564785,0.7806,1,2,1
"502","Duluth","National Ultrasound",13135050209,"Atlanta-Sandy Springs-Marietta, GA",6940027,-84.159558,33.974298,"2730 N Berkeley Lake Rd NW, Duluth, Georgia, 30096",2013,"Health",20,10892548,1.3064,1,2,2
"503","Dacula","Edelberg & Associates",13135050610,"Atlanta-Sandy Springs-Marietta, GA",32703055,-83.902948,34.067024,"2078 Teron Trce, Dacula, Georgia, 30019",2015,"Health",33,5130165,5.1707,2,1,3
"504","Duluth","ASK Staffing",13135050542,"Atlanta-Sandy Springs-Marietta, GA",3643007,-84.130462,33.945518,"3805 Crestwood Pkwy NW, Duluth, Georgia, 30096",2013,"Human Resources",1001,22128465,3.0934,3,2,3
"505","Duluth","Campus Special",13135050542,"Atlanta-Sandy Springs-Marietta, GA",3643007,-84.125192,33.947982,"3575 Koger Blvd, Duluth, Georgia, 30096",2013,"Advertising & Marketing",50,13519559,2.6546,2,2,2
"506","Duluth","Crown Asset Management, LLC",13135050542,"Atlanta-Sandy Springs-Marietta, GA",3643007,-84.119967,33.954829,"3355 Breckinridge Blvd, Duluth, Georgia, 30096",2008,"Business Products & Services",150,5690883,7.9141,3,1,3
"507","Duluth","The Campus Special",13135050542,"Atlanta-Sandy Springs-Marietta, GA",3643007,-84.125192,33.947982,"3575 Koger Blvd, Duluth, Georgia, 30096",2011,"Advertising & Marketing",25,5609000,1.551865,2,1,2
"508","Cumming","Peak Resource Group",13117130505,"Atlanta-Sandy Springs-Marietta, GA",11924486,-84.065311,34.225247,"6510 Holland Dr, Cumming, Georgia, 30041",2011,"Human Resources",47,2282714,1.266974,2,1,2
"509","Cumming","Arcadia Louvered Roofs",13117130205,"Atlanta-Sandy Springs-Marietta, GA",16743409,-84.079616,34.285434,"4455 Alicia Ln, Cumming, Georgia, 30028",2015,"Manufacturing",15,2783422,2.1664,1,1,2
"510","Suwanee","Strategic Systems & Technology",13117130606,"Atlanta-Sandy Springs-Marietta, GA",4432409,-84.163213,34.081694,"3325 Paddocks Pkwy, Suwanee, Georgia, 30024",2014,"Business Products & Services",37,30180163,3.2405,2,2,3
"511","Atlanta","Connolly",13121009602,"Atlanta-Sandy Springs-Marietta, GA",2379606,-84.357054,33.846365,"950 E Paces Ferry Rd NE, Atlanta, Georgia, 30326",2010,"Software",596,130100000,0.83,3,4,1
"512","Atlanta","PalmerHouse Properties",13121009602,"Atlanta-Sandy Springs-Marietta, GA",2379606,-84.367974,33.834263,"2911 Piedmont Rd NE, Atlanta, Georgia, 30305",2015,"Real Estate",1088,16512790,3.1219,3,2,3
"513","Atlanta","Pardot",13121009602,"Atlanta-Sandy Springs-Marietta, GA",2379606,-84.357054,33.846365,"950 E Paces Ferry Rd NE, Atlanta, Georgia, 30326",2012,"Software",58,7372976,20.012,2,1,3
"514","Atlanta","Birch Communications",13121009502,"Atlanta-Sandy Springs-Marietta, GA",1868079,-84.380267,33.839038,"3060 Peachtree Rd NW, Atlanta, Georgia, 30305",2015,"Telecommunications",1262,423200000,1.4349,3,4,2
